Unnamed: 0,member,XP,memberID,level
,Feminist#9996,470,266865822817845249,0
,nezuko#7368,280,577140178791956500,0
,matt-saunderz#4684,70,398789101190643713,0
,Groovy#7254,220,234395307759108106,0
,Goaty#1221,120,373089985403813888,0
,PyRoMancer#9399,180,411563702526017536,0
,Slow Potato#2211,90,595249481688285185,0
,fwiz#6999,330,247292930346319872,0
,qwest#1951,110,315465100200902657,0
,Tensho-Otaku#0605,10,255707491000778763,0
,saloodpeepo#8687,80,303049066525491201,0
,Rythm#3722,0,235088799074484224,1
,ritsu#7368,280,577140178791956500,0
